ID,feature1,feature2,labels
1179,10.71,2.05,2
1180,1.89,-0.52,0
1181,1.52,3.9,1
1182,-0.06,0.08,0
1183,0,0,0
1184,9.61,3.06,2
1185,2.43,6.47,1
1186,9.55,3.78,2
1187,-0.1,0.43,0
1188,9.24,4.55,2
1189,0,0,0
1190,1.04,-0.48,0
1191,10.18,4.52,2
1192,3.01,0.24,0
1193,9.66,1.84,2
1194,2.1,1.6,0
1195,9.52,4.19,2
1196,0,0,0
1197,1.71,2.28,1
1198,-0.44,0.73,0
1199,0.98,-0.46,0
1200,0,0,0
1201,10.05,1.66,2
1202,1.62,5.49,1
1203,-0.67,0.29,0
1204,0,0,0
1205,6.48,6.36,3
1206,5.33,14.98,4
1207,0,0,0
1208,2.15,6.63,1
1209,1.89,5.22,1
1210,4.07,15.02,4
1211,8.51,7.17,3
1212,0,-0.57,0
1213,2.01,6.42,1
1214,0,0,0
1215,4.9,15.06,4
1216,8.46,8.24,3
1217,10.43,3.53,2
1218,3.43,14.84,4
1219,5.34,14.77,4
1220,9.67,1.33,2
1221,7.04,6.57,3
1222,3.47,15.21,4
1223,7.93,6.7,3
1224,1.36,-0.11,0
1225,3.01,9.39,3
1226,2.27,-0.91,0
1227,0.93,-0.11,0
1228,4.99,15.19,4
1229,0.9,0.04,0
1230,0,0,0
1231,1.5,3.67,1
1232,10,1.2,2
1233,2.87,3.36,1
1234,1.78,4.91,1
1235,9.96,3.88,2
1236,1.29,4.99,1
1237,3.9,14.35,4
1238,7.28,15.06,4
1239,9.89,3.13,2
1240,0.41,-0.17,0
1241,10.16,2.47,2
1242,4.22,15.7,4
1243,0,0,0
1244,2.21,-0.65,0
1245,4.76,7.12,3
1246,0.39,0.31,0
1247,5.7,14.21,4
1248,10.07,5.16,2
1249,2.31,4.43,1
1250,0,0,0
1251,-0.08,-0.42,0
1252,9.98,4.23,3
1253,7.39,4.75,3
1254,6.36,10.36,3
1255,4.87,15.5,4
1256,7.92,8.61,3
1257,10.1,0.76,2
1258,2.06,2.89,1
1259,10.18,2.71,2
1260,4.69,15.27,4
1261,8.83,6.88,3
1262,6.58,15.44,4
1263,-0.36,0.26,0
1264,0.05,0.49,0
1265,3.98,10.81,3
1266,9.96,2.05,2
1267,10.42,2.78,2
1268,9.48,6.32,3
1269,10.45,5.3,2
1270,8.81,4.13,3
1271,0.5,-0.91,0
1272,6.97,9.43,3
1273,2.29,3.8,1
1274,1.91,4.78,1
1275,9.9,1.32,2
1276,1.49,0.4,0
1277,9.84,3.36,2
1278,1.96,5.85,1
1279,3.41,3.61,1
1280,1.39,4.64,1
1281,9.09,3.51,3
1282,5.44,14.11,4
1283,0,0,0
1284,9.87,5.84,2
1285,10.15,1.89,2
1286,10.34,5.81,2
1287,0,0,0
1288,2.25,2.94,1
1289,-0.01,0.64,0
1290,9.59,0.63,2
1291,10.09,2.66,2
1292,10.13,4.11,2
1293,0.54,-0.3,0
1294,7.58,6.95,3
1295,0,0,0
1296,9.96,3.05,2
1297,0,0,0
1298,0,0.1,0
1299,0.62,-1.55,0
1300,4.39,15.14,4
1301,9.64,2.18,2
1302,10.01,5.41,2
1303,1.64,5.24,1
1304,8.82,6.75,3
1305,10.11,4.41,2
1306,2.05,6.03,1
1307,8.34,7.1,3
1308,0.8,-0.89,0
1309,0.83,-0.5,0
1310,4.73,15.74,4
1311,2.95,15.42,4
1312,5.19,15.28,4
1313,4.72,15.62,4
1314,10.4,3.21,2
1315,0.29,2.7,0
1316,2.14,-0.09,0
1317,4.68,15.74,4
1318,4.3,14.78,4
1319,4.32,15.11,4
1320,5.21,14.96,4
1321,7.27,8.32,3
1322,9.9,2.93,2
1323,6.26,3.21,3
1324,0.75,-0.69,0
1325,0.98,4.29,1
1326,0.81,-1.24,0
1327,5.62,15.39,4
1328,10.29,2.61,2
1329,6.5,15.39,4
1330,8.99,8.2,3
1331,2.01,5.31,1
1332,9.23,4.42,3
1333,5.19,15.02,4
1334,0,0,0
1335,0.61,-0.87,0
1336,0,0,0
1337,5.35,14.1,4
1338,10.21,3.23,2
1339,5.02,15.14,4
1340,4.78,15.12,4
1341,5.5,4.89,3
1342,10.12,0.37,2
1343,1.67,4.78,1
1344,1.58,1.1,1
1345,4.63,7.76,3
1346,6.68,9.59,3
1347,0,0,0
1348,6.55,14.62,4
1349,5.89,15.05,4
1350,2.85,0.53,0
1351,1.94,4.83,1
1352,5.06,14.84,4
1353,1.84,5.57,1
1354,0,0,0
1355,6.59,14.54,4
1356,10.31,3.15,2
1357,0.84,6.94,1
1358,10.34,4.53,2
1359,7.04,5.39,3
1360,4.67,15.5,4
1361,9.93,3.73,2
1362,3.86,15.39,4
1363,10.06,3.3,2
1364,9.77,5.06,2
1365,0,0,0
1366,2.06,6.11,1
1367,9.65,2.61,2
1368,3.87,14.69,4
1369,9.44,7.93,3
1370,6.51,14.7,4
1371,8.91,7.26,3
1372,5.37,14.71,4
1373,6.71,15.47,4
1374,0.75,0.35,0
1375,9.9,4.56,2
1376,6.05,14.98,4
1377,1.9,-0.08,0
1378,0,0,0
1379,9.59,2.56,2
1380,4.71,9.47,3
1381,0.13,-0.41,0
1382,9.68,2.03,2
1383,2.01,4.25,1
1384,0.85,0.17,0
1385,8.45,4.19,3
1386,2.33,-0.25,0
1387,2.02,2.27,1
1388,1.68,-0.53,0
1389,10.21,5.25,2
1390,1.59,5.2,1
1391,-0.35,0.97,0
1392,2.44,3.03,1
1393,5.39,15.36,4
1394,1.83,-0.25,0
1395,5.04,4.86,3
1396,1.31,0.48,0
1397,9.93,4.67,2
1398,5.91,5.48,3
1399,1.73,0.11,0
1400,0,0,0
1401,3.91,15.07,4
1402,1.92,4.63,1
1403,7.91,5.73,3
1404,9.69,3.31,2
1405,1.83,-0.15,0
1406,0,0,0
1407,-0.35,-0.73,0
1408,6.75,10.32,3
1409,9.75,2.61,2
1410,0,0,0
1411,8,14.27,4
1412,4.84,6.42,3
1413,10.01,1.21,2
1414,1.64,0.74,0
1415,6.12,4.05,3
1416,9.75,4.01,2
1417,9.91,4.89,2
1418,1.33,0.61,0
1419,3.84,14.82,4
1420,3.32,14.76,4
1421,5.17,15.49,4
1422,9.54,2.28,2
1423,5.64,15.04,4
1424,9.89,4.63,2
1425,1.4,3.61,1
1426,8.73,9.33,3
1427,10.21,3.69,2
1428,10.34,1.71,2
1429,9.04,7.44,3
1430,2.27,8.25,3
1431,0,0,0
1432,9.77,2.1,2
1433,9.93,3.46,2
1434,10.3,3.06,2
1435,4.07,9.35,3
1436,10.1,1.97,2
1437,10.03,1.65,2
1438,2.74,3.43,1
1439,0.64,1.76,0
1440,7.13,7.39,3
1441,0,0,0
1442,0,0,0
1443,10.22,3.03,2
1444,2.04,0.48,0
1445,5.05,6.07,3
1446,6.74,3.5,3
1447,0.73,1.45,0
1448,5.71,14.91,4
1449,1.05,0.51,0
1450,5.69,3.93,3
1451,0,0,0
1452,4.69,15.35,4
1453,-0.31,0.01,0
1454,3.33,4.61,1
1455,5.76,16.08,4
1456,6.82,5.42,3
1457,2.64,-0.22,0
1458,1.04,-0.07,0
1459,2.9,5.34,1
1460,5.43,15.55,4
1461,9.98,2.78,2
1462,1.89,7.03,1
1463,2.93,0.69,0
1464,2.69,4.02,1
1465,9.99,2.21,2
1466,2.27,13.79,4
1467,0.37,-0.97,0
1468,10.59,0.3,2
1469,5.25,14.76,4
1470,8.94,9.18,3
1471,6.32,6.29,3
1472,4.33,14.92,4
1473,5.21,13.78,4
1474,0,0,0
1475,6.04,14.57,4
1476,0,0,0
1477,1.55,-0.19,0
1478,3.99,15.03,4
1479,3.2,13.95,4
1480,4.57,15.97,4
1481,1.19,0.64,0
1482,10.34,5.31,2
1483,0.36,0.77,0
1484,10.09,2.62,2
1485,1.01,0.53,0
1486,1.19,-1.68,0
1487,6.65,8.79,3
1488,0,0,0
1489,0,0,0
1490,1.77,-0.64,0
1491,1.55,2.82,1
1492,6.11,14.36,4
1493,0,0,0
1494,10.01,5.54,2
1495,1.87,8.3,1
1496,9.95,3.21,2
1497,0.2,0.7,0
1498,2.67,0.17,0
1499,9.9,6,2
1500,2.01,6.72,1
1501,-0.31,0.53,0
1502,1.82,-0.44,0
1503,9.71,7.43,3
1504,9.86,3.44,2
1505,2.28,14.89,4
1506,5.41,15.14,4
1507,0,0,0
1508,10.19,2.16,2
1509,4.97,14.49,4
1510,0,0,0
1511,5.09,14.6,4
1512,10.18,2.91,2
1513,10.45,2.29,2
1514,10.25,3.97,2
1515,5.69,14.38,4
1516,6.84,10.24,3
1517,9.72,3.69,2
1518,3.9,7.08,3
1519,10.04,1.76,2
1520,6.21,7.02,3
1521,4.63,14.64,4
1522,0,0,0
1523,0.45,0.53,0
1524,1.84,4.23,1
1525,9.81,3.45,2
1526,5.27,14.27,4
1527,5.81,6.67,3
1528,0,0,0
1529,2.18,5.51,1
1530,10.15,1.96,2
1531,10.12,4.11,2
1532,0,0,0
1533,0,0,0
1534,0,0,0
1535,9.65,4.74,2
1536,2.45,5.1,1
1537,0.82,0.43,0
1538,0,0,0
1539,2.44,2.75,1
1540,7.74,5.67,3
1541,10.88,5.12,2
1542,2.41,2.94,1
1543,2.75,0.49,0
1544,9.74,3.1,2
1545,1.95,6.07,1
1546,9.81,3.56,2
1547,5.48,16.13,4
1548,10.42,1.26,2
1549,9.97,2.54,2
1550,6.4,15.21,4
1551,0.86,0.31,0
1552,9.93,4.01,2
1553,1.11,0.88,0
1554,9.16,10.5,3
1555,0,0,0
1556,9.68,4.37,2
1557,6.24,7.6,3
1558,0.75,0.46,0
1559,3.8,14.29,4
1560,0,0,0
1561,-0.2,-0.38,0
1562,10.42,1.06,2
1563,2.21,5.17,1
1564,2.69,-1.07,0
1565,9.98,2.69,2
1566,2.22,-0.58,0
1567,2.02,3.11,1
1568,1.52,7.2,1
1569,4.28,14.86,4
1570,10.3,1.67,2
1571,1.92,6.49,1
1572,8.2,15.47,4
1573,3.72,8.34,3
1574,-0.41,1.71,0
1575,4.06,15.53,4
1576,9.39,2.41,2
1577,10.18,3.78,2
1578,10.1,2.8,2
1579,2.4,5.58,1
1580,6.33,15.78,4
1581,1.05,-0.3,0
1582,4.91,14.81,4
1583,4.08,14.44,4
1584,4.61,15.34,4
1585,2.35,6.17,1
1586,4.67,15.82,4
1587,4.04,14.71,4
1588,1.66,10.37,3
1589,0,0,0
1590,1.6,-0.19,0
1591,6.09,14.34,4
1592,9.51,2.91,2
1593,1.9,-1.4,0
1594,1.33,-1.12,0
1595,7.41,8.06,3
1596,1.9,5.14,1
1597,-0.53,-0.66,0
1598,1.52,6.38,1
1599,4.48,14.75,4
1600,10.15,1.81,2
1601,9.92,2.77,2
1602,1.96,4.57,1
1603,10.42,7.74,3
1604,2.8,-0.14,0
1605,2.11,-0.06,0
1606,2.16,4.53,1
1607,-0.23,-0.35,0
1608,10.65,2.95,2
1609,0,0,0
1610,2.1,-0.51,0
1611,10.9,4.63,2
1612,0,0,0
1613,0,0,0
1614,3.24,4.06,1
1615,4.48,14.37,4
1616,4.36,15.25,4
1617,0,0,0
1618,9.98,2.95,2
1619,9.84,3.22,2
1620,9.99,2.04,2
1621,1.85,-0.02,0
1622,5.23,4.73,3
1623,4.3,5.16,3
1624,8.06,7,3
1625,1.47,0.41,0
1626,7.33,5.44,3
1627,2.87,-0.02,0
1628,1.81,5.19,1
1629,0.46,-0.22,0
1630,5.95,7.52,3
1631,1.25,0.61,0
1632,0.21,0.05,0
1633,9.97,2.18,2
1634,1.84,3.63,1
1635,6.05,14.06,4
1636,2.21,4.52,1
1637,10.16,4.24,2
1638,1.55,0.75,0
1639,5.5,14.67,4
1640,10.2,2.75,2
1641,9.93,3.9,2
1642,-0.89,0.66,0
1643,1.23,-0.97,0
1644,10.46,3.15,2
1645,7.37,15.12,4
1646,9.5,3.29,2
1647,0,0,0
1648,-0.46,-0.43,0
1649,0,0,0
1650,6.13,14.04,4
1651,4.81,15.51,4
1652,0.7,-0.02,0
1653,5.52,15.3,4
1654,10.13,3.24,2
1655,2.16,8.88,1
1656,1.78,5.66,1
1657,4.94,9.74,3
1658,10.3,3.03,2
1659,3.73,14.14,4
1660,1.99,2.74,1
1661,10.08,1.71,2
1662,0,0,0
1663,2.43,-0.3,0
1664,3.84,15,4
1665,9.32,3.91,2
1666,0.59,0.74,0
1667,4.94,14.55,4
1668,0.49,1,0
1669,0.91,0.77,0
1670,5.64,14.34,4
1671,5.18,15.62,4
1672,10.48,3.57,2
1673,1.44,15.21,4
1674,4.31,15.57,4
1675,9.83,4.78,2
1676,6.1,15.24,4
1677,1.82,-0.82,0
1678,10.27,3.45,2
1679,10.35,0.53,2
1680,0,0,0
1681,9.85,4.61,2
1682,9.32,3.96,2
1683,9.62,7.06,2
1684,10.19,3.5,2
1685,4.02,15.23,4
1686,9.86,2.64,2
1687,10,5.34,2
1688,6.34,14.77,4
1689,6.91,8.04,3
1690,5.84,15.1,4
1691,10.53,3.38,2
1692,2.4,6.94,1
1693,4.52,15.42,4
1694,2.2,-0.12,0
1695,0,0,0
1696,10.21,4.85,2
1697,0.38,-0.19,0
1698,10.21,2.36,2
1699,2.28,4.86,1
1700,6.09,10.94,3
1701,10.21,5.7,2
1702,9.3,3.26,2
1703,5.12,15.08,4
1704,9.59,4.93,2
1705,-0.01,-0.63,0
1706,10.22,2.78,2
1707,3.35,4.41,1
1708,1.83,3.6,1
1709,10.34,2.65,2
1710,2.35,0.29,0
1711,2.35,-0.63,0
1712,9.57,3.37,2
1713,7.5,15.27,4
1714,0,0,0
1715,0,0,0
1716,4.94,5.36,3
1717,2.21,-1.03,0
1718,10.18,3.81,2
1719,9.36,3.44,2
1720,6.9,7.17,3
1721,7.75,6.1,3
1722,1.37,3.82,1
1723,0.53,1.23,0
1724,9.79,2.34,2
1725,0.66,-0.6,0
1726,4.53,7.61,3
1727,3.32,9.6,3
1728,1.01,-0.36,0
1729,2.4,5.52,1
1730,1.07,0.44,0
1731,6.52,15.34,4
1732,2.12,0.37,0
1733,0,0,0
1734,-0.97,1.05,0
1735,4.35,14.82,4
1736,3.1,0.24,0
1737,2.15,0.89,1
1738,0,0,0
1739,0,0,0
1740,0,0,0
1741,9.04,7.46,3
1742,10.26,2.01,2
1743,0.78,-0.45,0
1744,9.94,3.01,2
1745,8.58,7.26,3
1746,2.06,-0.59,0
1747,0,0,0
1748,1.41,4.32,1
1749,-0.53,0.84,0
1750,5.4,14.05,4
1751,2.3,5.14,1
1752,10.07,5.61,2
1753,4.68,15.13,4
1754,6.74,6.95,3
1755,7.5,15.53,4
1756,1.28,2.92,1
1757,1.29,5.88,1
1758,2.07,4.56,1
1759,5.25,15.29,4
1760,4.13,4.4,1
1761,2.03,5.67,1
1762,0.75,-0.54,0
1763,4.72,14.33,4
1764,9.97,3.88,2
1765,10.13,5.96,2
1766,5.38,3.5,3
1767,1.42,4.38,1
1768,2.26,5.42,1
1769,10.4,1.3,2
1770,0.16,-0.74,0
1771,5.73,6.25,3
1772,0,0,0
1773,-0.31,-0.61,0
1774,9.93,3.14,2
1775,0,0,0
1776,0,0,0
1777,0,0,0
1778,0.65,-1.25,0
1779,4.73,15.08,4
1780,4.75,10.13,3
1781,4.39,15.23,4
1782,4.3,14.5,4
1783,2.21,7.14,1
1784,4.53,14.96,4
1785,10.58,2.86,2
1786,1.57,-0.03,0
1787,6.56,15.45,4
1788,2.05,3.8,1
1789,6,15.39,4
1790,9.89,1.94,2
1791,0,0,0
1792,4.46,6.48,3
1793,10.3,3.22,2
1794,1.67,5.94,1
1795,5.13,14.06,4
1796,3.45,15.04,4
1797,6.39,15.54,4
1798,4.61,15.3,4
1799,1.57,5.11,1
1800,9.97,4.86,2
1801,5.11,7.53,3
1802,10.28,6.41,3
1803,5.88,14.6,4
1804,0,0,0
1805,9.94,4.86,2
1806,1.29,6.52,1
1807,-0.8,1.24,0
1808,2.51,0.84,0
1809,2.19,5.87,1
1810,7.76,15.64,4
1811,6.23,6.42,3
1812,10.6,3.69,2
1813,10.56,3.65,2
1814,0,0,0
1815,1.25,-0.01,0
1816,0,0,0
1817,2.18,0.56,0
1818,4.28,14.69,4
1819,10.03,3.05,2
1820,6.78,15.2,4
1821,6.56,16,4
1822,10.39,3.34,2
1823,10.19,2.77,2
1824,0,0,0
1825,1.28,-0.92,0
1826,9.89,4.61,2
1827,10.38,1.03,2
1828,3.99,15.37,4
1829,5.66,14.44,4
1830,2.2,-0.17,0
1831,1.93,-1.1,0
1832,5.25,15.08,4
1833,3.9,15.14,4
1834,10,1.66,2
1835,9.96,3.6,2
1836,10.1,4.62,2
1837,0,0,0
1838,2.36,5.7,1
1839,0.8,0.89,0
1840,10.1,1.6,2
1841,4.4,7.03,3
1842,0.72,0.93,0
1843,5.43,15.53,4
1844,1.46,6.82,1
1845,10.34,1.07,2
1846,5.04,6.42,3
1847,4.19,15.23,4
1848,10.04,3.93,2
1849,3.02,3.62,1
1850,1.95,3.65,1
1851,2.61,5.26,3
1852,1.15,6.99,1
1853,3.25,7.97,1
1854,10.03,0.82,2
1855,0,0,0
1856,2.51,2.31,1
1857,8.43,7.72,3
1858,10.18,3.14,2
1859,0,0,0
1860,9.66,3.35,2
1861,4.65,14.47,4
1862,8.01,2.36,3
1863,10.36,4.75,2
1864,5.67,5.75,3
1865,9.95,9.96,3
1866,1.31,4.68,1
1867,0.94,-1.33,0
1868,2.9,14.66,4
1869,0,0,0
1870,5.85,6.39,3
1871,1.82,4.22,1
1872,1.96,-0.96,0
1873,-0.08,0.06,0
1874,10.11,3.17,2
1875,0,0,0
1876,5.15,15.16,4
1877,1.84,-0.51,0
1878,6.23,9.6,3
1879,4.12,15.39,4
1880,0,0,0
1881,10.02,3.31,2
1882,10.24,3.03,2
1883,11.52,8.45,3
1884,5.59,13.66,4
1885,10.18,1.46,2
1886,9.88,7.89,3
1887,2.23,4.97,1
1888,4.62,4.33,3
1889,1.62,-0.61,0
1890,9.89,2.91,2
1891,9.67,5.45,2
1892,4.71,15.78,4
1893,9.57,2.35,2
1894,1.2,6.77,1
1895,0.9,-1.16,0
1896,0,0,0
1897,1.28,0,0
1898,1.52,4.86,1
1899,2.15,3.7,1
1900,2.11,7.04,1
1901,2.08,-0.21,0
1902,-0.3,0.18,0
1903,0.5,-0.17,0
1904,10.56,1.52,2
1905,4.81,14.95,4
1906,1.06,0.43,0
1907,-0.65,-0.31,0
1908,6.42,15.47,4
1909,2.5,4.01,1
1910,1.87,3.18,1
1911,1.03,5.06,1
1912,3.5,14.47,4
1913,10.14,4.23,2
1914,3.6,15.53,4
1915,9.94,2.51,2
1916,1.32,-0.45,0
1917,1.04,3.88,1
1918,6.57,14.79,4
1919,2.24,6.09,1
1920,9.97,5.82,2
1921,1.27,0.3,0
1922,1.81,0.15,0
1923,10.01,2.4,2
1924,-0.05,-1.26,0
1925,4.6,14.6,4
1926,2.76,3.96,1
1927,2.18,5.76,1
1928,10.14,4.57,2
1929,5.78,15,4
1930,9.94,5.15,2
1931,9.97,3.61,2
1932,1.81,3.17,1
1933,1.27,5.84,1
1934,10.4,3.25,2
1935,5,14.15,4
1936,10.9,6.04,3
1937,9.08,7.12,3
1938,6.25,15.69,4
1939,4.31,7.23,3
1940,0.54,0.13,0
1941,1.38,6.3,1
1942,3.81,6.01,3
1943,2.33,4.17,1
1944,4.79,14.73,4
1945,2.43,6.12,1
1946,1.48,0.4,0
1947,9.77,4.14,2
1948,0.1,0.3,0
1949,-0.85,0.42,0
1950,5.04,14.72,4
1951,2.08,3.11,1
1952,10.83,3.15,2
1953,6.87,14.92,4
1954,7.74,4.9,3
1955,1.53,-0.98,0
1956,0,0,0
1957,2.51,-0.48,0
1958,1.31,3.21,1
1959,3.11,14.91,4
1960,1.47,4.76,1
1961,3.79,14.8,4
1962,6.77,15,4
1963,4.1,14.99,4
1964,7.33,6.25,3
1965,9.84,3.76,2
1966,10.54,2.55,2
1967,9.91,1.88,2
1968,9.89,2.07,2
1969,6.14,6.26,3
1970,2.55,4.98,1
1971,2.3,5.9,1
1972,-0.37,-0.38,0
1973,10.23,3.98,2
1974,6.15,8.71,3
1975,9.09,7.07,3
1976,4.97,15.53,4
1977,4.55,14.83,4
1978,0,0,0
1979,1.56,5.23,1
1980,-0.41,0.3,0
1981,3.72,15.45,4
1982,2.29,4.28,1
1983,5.35,15.03,4
1984,9.2,0.05,2
1985,0,0,0
1986,1.24,-0.31,0
1987,4.37,15.19,4
1988,2.63,5.63,1
1989,1.07,1.34,0
1990,0,0,0
1991,4.86,14.89,4
1992,4.24,15.23,4
1993,0,0,0
1994,10.2,-0.53,2
1995,0.72,-0.91,0
1996,0.63,-0.17,0
1997,3.9,14.64,4
1998,6.43,7.53,3
1999,0,0,0
2000,0.84,-0.41,0
2001,0.83,0.05,0
2002,0,0,0
2003,5.63,15.33,4
2004,8.13,5.84,3
2005,4.88,15.6,4
2006,0,0,0
2007,1.17,0.58,0
2008,9.93,2.5,2
2009,1.72,5.99,1
2010,1.82,3.85,1
2011,1.87,6.55,1
2012,10.14,3.06,2
2013,9.83,3.54,2
2014,10.19,4.31,2
2015,10.15,7.09,2
2016,9.61,2.73,2
2017,5.16,15.62,4
2018,9.75,3.14,2
2019,5.24,14.99,4
2020,4.06,14.06,4
2021,-1.33,-0.15,0
2022,2.7,7.67,1
2023,10.13,2.19,2
2024,9.53,4.8,2
2025,9.03,8.83,3
2026,1.13,0.42,0
2027,5.93,15.07,4
2028,7.57,7.06,3
2029,1.04,6.08,1
2030,5.69,13.07,3
2031,5.51,15.44,4
2032,9.81,6.14,2
2033,9.76,4.89,2
2034,9.82,2.21,2
2035,2.37,0.22,0
2036,4.66,14.95,4
2037,2.56,7.76,1
2038,0,0,0
2039,10.34,3.02,2
2040,3.34,14.52,4
2041,2.39,5.54,1
2042,10.04,6.14,2
2043,9.86,3.44,2
2044,4.79,14.44,4
2045,0,0,0
2046,5.2,15.14,4
2047,0,0,0
2048,9.47,0.95,2
2049,3.97,8.82,3
2050,5.29,14.74,4
2051,0.49,0.7,0
2052,0.6,1.02,0
2053,9.79,1.23,2
2054,-1.47,0.06,0
2055,2.76,8.36,3
2056,-0.95,-0.82,0
2057,5.14,14.59,4
2058,-0.34,0.11,0
2059,8.85,10.12,3
2060,2.02,5.05,1
2061,10.19,2.38,2
2062,3.68,15.08,4
2063,1.89,5.47,1
2064,0,0,0
2065,6.54,9.11,3
2066,7.32,15.88,4
2067,6.07,8.66,3
2068,3.33,14.87,4
2069,4.16,14.55,4
2070,1.04,0.85,0
2071,0.59,-1.14,0
2072,9.43,3.18,2
2073,9.88,1.83,2
2074,9.84,1.85,2
2075,1.79,3.15,1
2076,5.76,14.93,4
2077,7.16,6.13,3
2078,5.66,15.15,4
2079,5.02,14.8,4
2080,10.33,1.38,2
2081,10.5,7.4,2
2082,9.86,2.77,2
2083,0.71,0.89,0
2084,3.85,15.33,4
2085,5.31,14.85,4
2086,10.01,4.92,2
2087,9.59,2.83,2
2088,6.08,14.56,4
2089,0,0,0
2090,7.11,14.86,4
2091,1.29,-0.45,0
2092,-0.08,-1.44,0
2093,7.51,5.11,3
2094,10.43,5.5,2
2095,0,0,0
2096,10.25,3.43,2
2097,6.71,15.49,4
2098,1.76,-0.95,0
2099,10.13,0.35,2
2100,3.28,8.45,3
2101,3.94,14.58,4
2102,5.54,14.81,4
2103,1.28,3.68,1
2104,0,0,0
2105,0.12,-0.79,0
2106,2.01,4.4,1
2107,1.62,-1.83,0
2108,5.04,15.09,4
2109,5.65,14.04,4
2110,3.77,1.05,0
2111,6.16,4.21,3
2112,10.28,2.93,2
2113,9.6,5.47,2
2114,10.42,2.33,2
2115,5.33,15.09,4
2116,0.05,0.07,0
2117,0.1,1.54,0
2118,7.59,7.78,3
2119,1.18,4.85,1
2120,0.17,-0.68,0
2121,5.85,14.99,4
2122,5.15,4.87,3
2123,11.64,8.15,3
2124,9.6,3.26,2
2125,0.8,-0.13,0
2126,5.08,14.95,4
2127,10.03,1.87,2
2128,1.13,-0.66,0
2129,0.7,-1.52,0
2130,4.28,14.35,4
2131,5.97,5.01,3
2132,-0.33,1.32,0
2133,0,0,0
2134,9.84,3.98,2
2135,6.76,5.2,3
2136,1.91,2.56,1
2137,-0.64,0.62,0
2138,9.86,2.23,2
2139,0,0,0
2140,5.53,14.43,4
2141,6.19,13.7,4
2142,0,0,0
2143,2.31,5.67,1
2144,10.56,2.2,2
2145,7.91,5.78,3
2146,9.98,3.23,2
2147,1.87,6.17,1
2148,2.33,5.51,1
2149,5.77,14.21,4
2150,1.54,-0.83,0
2151,1.59,5.69,1
2152,1.6,0.9,0
2153,5.15,14.89,4
2154,10.38,2.25,2
2155,1.92,6.65,1
2156,0,0,0
2157,6.14,15.58,4
2158,10.29,6.31,2
2159,5.28,15.01,4
2160,4.27,15.37,4
2161,0,0,0
2162,0.39,-0.28,0
2163,0,0,0
2164,9.64,3.76,2
2165,7.13,9.31,3
2166,2.11,0.75,0
2167,6.32,14.86,4
2168,10.01,1.4,2
2169,9.56,3.81,2
2170,6.51,15.1,4
2171,1.17,-0.15,0
2172,9.62,1.72,2
2173,9.7,4.74,2
2174,9.89,1.91,2
2175,10.28,2.81,2
2176,4.25,14.62,4
2177,6.52,8.2,3
2178,9.72,0.59,2
2179,6.69,14.53,4
2180,3.06,7,3
2181,2.67,15.52,4
2182,5.96,14.44,4
2183,10.31,4.85,2
2184,1.36,5.08,1
2185,10.01,2.72,2
2186,2.85,5.47,1
2187,0,0,0
2188,0,0,0
2189,1.4,0.61,0
2190,9.96,2.64,2
2191,9.98,3.77,2
2192,4.66,7.79,3
2193,1.82,4.78,1
2194,2.02,0.96,0
2195,0,0,0
2196,9.08,8.36,3
2197,7.14,7.83,3
2198,4.61,15.68,4
2199,0.75,0.38,0
2200,1.07,1.34,0
2201,2.88,6.57,1
2202,3.61,5.89,3
2203,6.15,6.79,3
2204,0.9,0.35,0
2205,1.99,5.31,1
2206,0.22,-0.33,0
2207,10.26,1.99,2
2208,6.44,15.91,4
2209,1.5,6.64,1
2210,7.66,8.21,3
2211,1.87,1.41,0
2212,4.82,15.97,4
2213,10.34,4.22,2
2214,11.03,8.51,3
2215,1.87,-0.79,0
2216,10.1,1.91,2
2217,1.28,-0.61,0
2218,1.89,5.79,1
2219,9.93,3.11,2
2220,9.99,1.83,2
2221,0,0,0
2222,2.19,7.56,1
2223,4.57,15.55,4
2224,0,0,0
2225,7.01,7.42,3
2226,10.32,6,2
2227,3.45,15.61,4
2228,3.24,14.7,4
2229,1,1.17,0
2230,10.19,4.37,2
2231,9.7,4.54,2
2232,0,0,0
2233,6.16,9.99,3
2234,10.23,2.84,2
2235,9.27,8.87,3
2236,3.81,14.96,4
2237,2.55,4.67,1
2238,10.11,1.26,2
2239,9.39,1.71,2
2240,9.87,1.84,2
2241,0.15,-0.43,0
2242,1.82,-0.59,0
2243,9.54,2.56,2
2244,0.51,-0.8,0
2245,9.69,2.46,2
2246,4.86,3.68,3
2247,10.11,2.68,2
2248,-0.35,-0.3,0
2249,3.63,14.41,4
2250,0,0,0
2251,1.78,0.25,0
2252,10.38,3.79,2
2253,3.05,14.55,4
2254,9.37,7.78,3
2255,2.79,6.53,1
2256,4.74,14.49,4
2257,1.81,-1.88,0
2258,5.2,14.69,4
2259,10.32,2.87,2
2260,9.79,3.98,2
2261,-0.49,-1.13,0
2262,0,0,0
2263,10.29,1.65,2
2264,0,0,0
2265,4.25,6.61,3
2266,2.13,6.01,1
2267,6.88,15.49,4
2268,-0.46,0.61,0
2269,5.88,15.33,4
2270,2.16,4.38,1
2271,9.59,-0.66,2
2272,-0.24,0.29,0
2273,4.62,14.12,4
2274,1.74,2,1
2275,4.72,15.1,4
2276,10.02,5.39,2
2277,9.46,1.64,2
